,interest_name,idx,entity_name,data_source,first_name,last_name
0,SVK,119433,SVK INVEST INTERNATIONAL LIMITED,federal_parliament,Heinz,Brand
1,SVK,150129,SVK FOUNDATION,federal_parliament,Heinz,Brand
2,Aresa,173209,ARESA FINANCE LTD.,federal_parliament,Denis,de la Reussille
3,ASCA,53521,ASCA MANAGEMENT LTD.,geneva_parliament,Sarah,Klopmann
4,ARGOS,31154,ARGOS BUILDING CORPORATION LTD.,geneva_parliament,Christian,Frey
5,ARGOS,38862,ARGOS S.A.,geneva_parliament,Christian,Frey
6,ARGOS,148117,ARGOS-REALCO S.A.,geneva_parliament,Christian,Frey
7,ARGOS,152462,ARGOS (GULF) S.A.,geneva_parliament,Christian,Frey
8,ARGOS,164409,ARGOS TRADING LTD.,geneva_parliament,Christian,Frey
9,ARGOS,268869,Argos Inter Invest Ltd.,geneva_parliament,Christian,Frey
10,CIA,2137,J. MARQUES AND CIA. S.A.,geneva_parliament,Patrick,Dimier
11,CADES,51038,CADES FINANCE LTD.,federal_parliament,Ignazio,Cassis
12,ARGOS,3649,ARGOS HOLDING LIMITED,federal_parliament,Liliane,Maury Pasquier
13,ARGOS,31154,ARGOS BUILDING CORPORATION LTD.,federal_parliament,Liliane,Maury Pasquier
14,ARGOS,38862,ARGOS S.A.,federal_parliament,Liliane,Maury Pasquier
15,ARGOS,148117,ARGOS-REALCO S.A.,federal_parliament,Liliane,Maury Pasquier
16,ARGOS,152462,ARGOS (GULF) S.A.,federal_parliament,Liliane,Maury Pasquier
17,ARGOS,164409,ARGOS TRADING LTD.,federal_parliament,Liliane,Maury Pasquier
18,ARGOS,190341,ARGOS FOUNDATION,federal_parliament,Liliane,Maury Pasquier
19,ARGOS,268869,Argos Inter Invest Ltd.,federal_parliament,Liliane,Maury Pasquier
20,Nature,28487,NATURE ASSETS S.A.,federal_parliament,Robert,Cramer
21,energo,10568,ENERGO COMPANY S.A.,federal_parliament,Martin,Landolt
22,energo,13992,CAN-ENERGO (HOLDING) LIMITED,federal_parliament,Martin,Landolt
23,energo,84835,ENERGO TEHNIKA LTD.,federal_parliament,Martin,Landolt
24,energo,176484,SIGMA ENERGO LTD.,federal_parliament,Martin,Landolt
