Ranked,Name,Headquarters,Total assets,Income,Employees,Manager
1,UBS,Basel,2060250,14690,69569,"Marcel Ospel, Basler, 2008 abgewählt"
2,Credit Suisse,Zurich,1339052,5850,63523,
3,Raiffeisen,St. Gallen,108187,608,6549,
4,Zürcher Kantonalbank,Zurich,85914,810,4276,
5,HSBC Private Bank (Suisse),Geneva,54012,374,1929,
6,BNP Paribas (Suisse),Geneva,37657,309,1736,
7,Banque cantonale vaudoise,Lausanne,34875,457,2349,
8,Julius Baer Group,Zurich,28648,144,3427,
9,Banque Migros,Zurich,28000,87,1124,
10,Basler Kantonalbank,Basel,24654,263,1348,
11,Crédit Agricole (Suisse),Geneva,24512,154,1119,
12,Berner Kantonalbank,Bern,20724,85,1441,
13,Saint Galler Kantonalbank,St. Gallen,19117,168,957,
14,Luzerner Kantonalbank,Lucerne,18879,120,951,
15,Coutts Bank von Ernst,Zurich,18799,44,975,
16,Neur Aargauer Bank,Aarau,17526,138,797,
17,Valiant Holding AG,Lucerne,17138,122,960,
18,Union Bancaire Privée,Geneva,15901,326,1168,
19,Aargauische Kantonalbank,Laufenburg,15546,84,641,
20,,Lugano,15237,82,1150,
