Rank,Name,Headquarters,Revenue,Net income,Employees,Industry,Director
1,Glencore,Baar,119938,,181000.0,commodity trading,
2,Nestlé,Vevey,91075,7995.0,253000.0,agriculture/food,Peter Brabeck-Letmathe
3,Novartis,Basel,42455,8093.0,90924.0,chemical/pharmaceutical,
4,Roche,Basel,35511,2390.0,68218.0,chemical/pharmaceutical,
5,ABB,Zurich,29169,955.0,104000.0,engineering,
6,Adecco,Chéserex,28534,706.0,33000.0,temp workers,
7,Migros,Zurich,20385,699.0,59934.0,retail/services,
8,Holcim,Jona,18468,1818.0,59901.0,construction materials,
9,Cargill International SA,Geneva,18275,,475.0,commodity trading,
10,Coop,Basel,14901,270.0,37370.0,retail/services,
11,Kühne + Nagel,Schindellegi,14048,315.0,25607.0,international transport/logistics,
12,Mercuria Energy Trading,Geneva,11200,200.0,,petroleum,
13,Syngenta,Basel,10681,779.0,19337.0,chemical/pharmaceutical,
14,Xstrata,Zug,10609,2249.0,17000.0,mining,
15,Swisscom,Bern,9732,2346.0,16088.0,telecommunications,
16,Schindler,Ebikon,8870,401.0,40385.0,engineering,
17,Atel / Motor-Columbus,Olten,8580,413.0,8649.0,energy production/distribution,
18,Alstom Suisse,Baden,8500,,4500.0,engineering/manufacturing,
19,Panalpina,Basel,8293,120.0,13583.0,international shipping/logistics,
20,Liebherr,Bulle,8270,,23762.0,engineering,
21,Clariant,Muttenz,8181,192.0,23383.0,chemical/pharmaceutical,
22,La Poste,Bern,7499,811.0,41073.0,service,
23,DKSH Management AG,Zurich,7454,,20500.0,import/export,
24,Ciba,Basel,7419,-256.0,19105.0,chemical/pharmaceutical,
25,CFF,Bern,7087,-166.0,28383.0,public transport/railroads,
26,Axpo,Baden,6716,571.0,2990.0,energy production/distribution,
27,Richemont,Geneva,6716,,,,
28,Globus-Cosmos,Montagnola,5600,,5000.0,travel agency/tourism,
29,Swatch,Bienne,4497,621.0,20650.0,watchmaking,
30,Fenaco,Bern,4380,54.0,7244.0,retail,
31,Careal Holding,Zurich,4174,,6889.0,,
32,Barry Callebaut,Zurich,4061,68.0,8542.0,chocolate,
33,EG Laufenburg,Laufenbourg,4010,124.0,322.0,energy production/distribution,
34,Omya,Oftringen,3700,,6500.0,,
35,Georg Fischer,Schaffhausen,3692,175.0,12403.0,engineering,
36,Kuoni,Zurich,3688,-42.0,6943.0,travel agency/tourism,
37,Hilti,Schaan,3638,284.0,16062.0,power tools,
38,Swiss,Basel,3580,-178.0,6094.0,air transport,
39,Rehau,Muri bei Bern,3500,,14800.0,synthetic materials,
40,SGS,Geneva,3308,388.0,41460.0,service,
41,AMAG,Zurich,3200,,3946.0,automobile sales/imports,
42,Rieter,Winterthur,3160,138.0,14652.0,engineering,
43,Serono,Coinsins,3082,-138.0,4826.0,chemical/pharmaceutical,
44,Sika,Baar,2916,152.0,10852.0,construction materials,
45,Rolex,Les Acacias,2850,,5800.0,watchmaking,
46,Valora,Bern,2846,,7454.0,retail,
47,Tamoil,Collombey,2829,13.0,382.0,petroleum,
48,Manor,Basel,2803,,11500.0,retail,
49,Givaudan,Vernier,2778,407.0,5924.0,chemical/pharmaceutical,
50,Synthes,Oberdorf,2739,402.0,7627.0,medical technology,
51,Ziegler,Basel,2700,,4300.0,international transport/logistics,
52,Swiss Steel,Emmen,2633,122.0,5389.0,metallurgy,
53,Lonza,Basel,2521,188.0,5984.0,chemical/pharmaceutical,
54,Gate Gourmet,Kloten,2500,,,catering,
